1.1.1w,1222
1.1.1n,886
1.0.2k-fips,401
3.2.2,231
3.0.19,207
1.1.1k,185
3.5.1,158
3.5.5,128
3.1.3,99
1.1.1,72
1.0.1e-fips,67
3.0.7,26
3.5.6,24
1.1.1g,20
3.5.4,19
0.9.6c,18
1.1.1c,15
3.6.2,12
1.1.1t,11
3.0.15,11
1.0.2u,11
3.0.16,10
1.1.1h-freebsd,10
0.9.8e-fips-rhel5,10
1.1.1p,9
1.0.1t,9
1.0.1f,8
0.9.8g,7
1.1.1d,6
1.0.2h,6
3.0.9,6
1.0.2k,6
1.1.1w-freebsd,6
0.9.8x,6
1.0.0-fips,6
3.0.13,5
3.0.13+quic,5
1.1.1l,5
3.6.0,5
1.0.2s,4
1.1.1k-freebsd,4
1.1.1m,4
3.6.1,4
1.1.1b,4
version,3
3.1.5,3
1.1.1s,3
1.0.2q,3
1.1.1d-freebsd,3
1.1.1a,3
3.3.2,3
3.1.4,3
1.1.1t-freebsd,3
3.0.12+quic,3
1.0.2l,3
3.1.7,3
1.1.0f,3
1.0.1u-freebsd,3
3.0.2,3
3.0.20,3
3.2.4,3
1.1.1i,3
1.0.1g,3
1.0.1e,3
1.0.1p,2
1.0.2o-freebsd,2
0.9.8y,2
1.0.2g,2
3.3.1,2
1.0.1s-freebsd,2
1.0.1j,2
1.1.1h,2
1.1.0h-fips,2
1.1.1a-freebsd,2
1.0.2d,2
1.0.2o,2
1.1.1zd,2
1.0.2p,2
3.0.8,2
0.9.8e,2
1.0.2n,2
1.1.1q,2
1.1.0l,2
1.0.2u-freebsd,2
1.1.1f,2
1.0.2j,2
1.1.0g,2
1.1.1zg,1
3.4.1,1
0.9.8o,1
3.0.12,1
1.1.0i,1
3.0.11,1
3.4.0,1
3.2.1,1
0.9.8m,1
1.1.1q+quic,1
3.0.14,1
3.5.0,1
3.0.18,1
1.1.1zc,1
1.0.2k-freebsd,1
1.0.0e,1
1.1.0i-fips,1
1.0.2o-fips,1
1.0.1i,1
0.9.6m,1
0.9.8zg,1
3.5.3,1
1.1.1j,1
1.1.0h,1
3.0.17,1
0.9.7g,1
3.5.2,1
0.9.8zc,1
1.1.1zb,1
0.9.8k,1
3.1.1,1
3.1.3-OPEN,1
1.0.1c,1
